CARNET;NOMBRES;APELLIDOS;email;master;SECCIONES
201066994;Lourdes;Williamson;brannon.stroman@bins.com;MAESTRIA EN ARQUITECTURAS TI;[12665, 12664, 13579, 13185, 13185, 13579, 13183]
199511735;Dariana;Tremblay;harber.hortense@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[13981, 13185, 13285, 13285, 13185, 13579, 13183]
201330561;Merle;Steuber;jewel.emard@hotmail.com;MAESTRIA EN ARQUITECTURAS TI;[13579, 13981, 13285, 12667, 13185, 13579, 13579]
199060269;Jammie;Fahey;hoppe.crystal@effertz.com;MAESTRIA EN ARQUITECTURAS TI;[13579, 13982, 13285, 12667, 12667, 13579, 13981]
200158065;Misael;Quitzon;little.colton@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[13183, 12667, 12664, 13579, 13579, 13183, 13579]
201110684;Micheal;Adams;cjast@yahoo.com;MAESTRIA EN ARQUITECTURAS TI;[13981, 13185, 12667, 13579, 13183, 13579, 13981]
199104198;Jenifer;Hills;berenice73@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[13185, 13982, 13579, 12664, 13183, 13579, 13579]
200943777;Lew;Sauer;brenda85@king.net;MAESTRIA EN ARQUITECTURAS TI;[12664, 12664, 13981, 12664, 12667, 13981, 13981]
199374905;Trenton;Brown;jayne46@dickens.info;MAESTRIA EN ARQUITECTURAS TI;[12664, 12664, 13579, 13981, 13183, 13183, 13183]
199894282;Margarita;Collins;hoeger.novella@lockman.com;MAESTRIA EN ARQUITECTURAS TI;[13981, 12667, 13981, 12664, 12667, 13183, 13183]
200523284;Joanne;Fisher;pstracke@russelmcdermott.com;MAESTRIA EN ARQUITECTURAS TI;[13285, 13285, 13579, 13183, 13183, 13579, 13981]
199764961;Esther;Bosco;pearl23@hotmail.com;MAESTRIA EN ARQUITECTURAS TI;[13285, 12667, 13285, 13579, 13981, 13981, 13579]
200689640;Nyasia;Keebler;maggio.melvina@yahoo.com;MAESTRIA EN ARQUITECTURAS TI;[12665, 12664, 12665, 13183, 12667, 13183, 13579]
200287388;Brandon;Casper;agnes.barrows@yahoo.com;MAESTRIA EN ARQUITECTURAS TI;[13981, 13185, 13185, 12664, 12665, 13183, 13579]
200573842;Nadia;Fisher;gschaefer@padberg.com;MAESTRIA EN ARQUITECTURAS TI;[13981, 13185, 13981, 13579, 13185, 13981, 13981]
199508259;Connor;Walker;waino.turner@raynorrohan.com;MAESTRIA EN ARQUITECTURAS TI;[12664, 13579, 13285, 12667, 12665, 13981, 13579]
199177482;Fay;Howe;lowe.rico@bednar.com;MAESTRIA EN ARQUITECTURAS TI;[13981, 13285, 13183, 13183, 13579, 13579, 13579]
201509495;Loren;Ernser;henderson.cassin@yahoo.com;MAESTRIA EN ARQUITECTURAS TI;[12667, 13285, 13183, 12667, 13183, 13981, 13183]
200989261;Santa;Harber;rollin.eichmann@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[12664, 13579, 13185, 13185, 13185, 13981, 13579]
199622440;Cary;Jones;hugh00@robel.info;MAESTRIA EN ARQUITECTURAS TI;[13183, 13579, 13981, 12664, 13579, 13579, 13981]
199441355;Alexander;Hoppe;ohyatt@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[13981, 13185, 12665, 13981, 12667, 13183, 13183]
199794068;Lavinia;Cremin;btorp@hotmail.com;MAESTRIA EN ARQUITECTURAS TI;[13981, 12665, 12664, 13183, 13185, 13183, 13981]
200166339;Dell;Harber;harris.bette@walker.com;MAESTRIA EN ARQUITECTURAS TI;[12665, 13982, 13185, 12665, 12665, 13183, 13183]
201082061;Rossie;Macejkovic;lind.lewis@baumbach.com;MAESTRIA EN ARQUITECTURAS TI;[13183, 13183, 12664, 13185, 13981, 13981, 13579]
199622836;Joaquin;Hyatt;nbosco@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[13579, 12664, 13183, 13981, 12667, 13183, 13981]
201247039;Savanah;Wehner;emile50@skiles.net;MAESTRIA EN ARQUITECTURAS TI;[13982, 12665, 12667, 13285, 12665, 13981, 13981]
200489625;Gaetano;Gutkowski;ztromp@mann.com;MAESTRIA EN ARQUITECTURAS TI;[13183, 13185, 13285, 12665, 12665, 13981, 13579]
199084447;Stephanie;Emard;hammes.mallory@hotmail.com;MAESTRIA EN ARQUITECTURAS TI;[13183, 13285, 12667, 12664, 12665, 13579, 13579]
