CARNET;NOMBRES;APELLIDOS;email;master;SECCIONES
200857666;Edmond;Krajcik;mosciski.brooklyn@roobkohler.info;MAESTRIA EN ARQUITECTURAS TI;[12667, 13982, 13579, 13183, 12665, 13579, 13579]
199990157;Ardith;Crist;dorthy.wintheiser@sipesdooley.biz;MAESTRIA EN ARQUITECTURAS TI;[13579, 13183, 13183, 13285, 13183, 13981, 13981]
199302038;Marielle;Beer;pcummerata@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[13982, 12667, 13183, 12665, 13981, 13579, 13183]
200930346;Carroll;Littel;jhintz@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[12664, 13183, 13185, 13285, 13981, 13183, 13579]
199154827;Kenya;Hessel;skylar09@yahoo.com;MAESTRIA EN ARQUITECTURAS TI;[13285, 13185, 13579, 12665, 13981, 13981, 13579]
199060725;Nyah;Kuvalis;dsenger@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[13185, 13285, 12665, 13185, 13185, 13183, 13579]
200108832;Gonzalo;O'Connell;cfranecki@yahoo.com;MAESTRIA EN ARQUITECTURAS TI;[13285, 13185, 12664, 12664, 13981, 13981, 13981]
200715452;Antonia;Bradtke;doug.ferry@cole.com;MAESTRIA EN ARQUITECTURAS TI;[12667, 13982, 12664, 12667, 13185, 13183, 13183]
199716252;Sylvia;Herzog;amie46@hotmail.com;MAESTRIA EN ARQUITECTURAS TI;[13579, 12664, 13579, 13183, 12665, 13579, 13981]
200838340;Ryann;Sauer;ikiehn@zulauf.com;MAESTRIA EN ARQUITECTURAS TI;[13579, 13285, 13183, 13579, 13579, 13579, 13183]
200403589;Gregorio;Langosh;price.waylon@yahoo.com;MAESTRIA EN ARQUITECTURAS TI;[13981, 13285, 12667, 13981, 13579, 13579, 13183]
199784554;Anabelle;Hermiston;obins@yahoo.com;MAESTRIA EN ARQUITECTURAS TI;[12664, 12667, 12664, 13183, 13183, 13579, 13183]
200974094;Eleazar;Keebler;tspencer@yahoo.com;MAESTRIA EN ARQUITECTURAS TI;[12664, 13982, 12664, 13183, 13185, 13579, 13981]
199695553;Agustina;Dicki;rodriguez.timmy@erdman.biz;MAESTRIA EN ARQUITECTURAS TI;[13183, 13579, 13981, 13285, 12667, 13579, 13579]
199288559;Claude;Fisher;emmitt.bogisich@yahoo.com;MAESTRIA EN ARQUITECTURAS TI;[13185, 13285, 13285, 13183, 12667, 13183, 13183]
199444212;Vince;Parisian;vonrueden.lenny@beierlang.info;MAESTRIA EN ARQUITECTURAS TI;[13579, 13982, 13285, 13185, 12667, 13579, 13183]
201149307;Kirstin;Schmitt;margarita23@hotmail.com;MAESTRIA EN ARQUITECTURAS TI;[13185, 13185, 12664, 13579, 13183, 13981, 13183]
200518030;Madaline;Schuster;kreiger.garrison@hauck.com;MAESTRIA EN ARQUITECTURAS TI;[13579, 13185, 12664, 12667, 12665, 13579, 13579]
200795256;Jermey;Dach;quigley.marianna@turcotte.com;MAESTRIA EN ARQUITECTURAS TI;[13285, 13183, 13981, 13185, 13185, 13183, 13183]
199058873;Garland;Swaniawski;pacocha.noe@barrows.com;MAESTRIA EN ARQUITECTURAS TI;[13981, 13285, 13183, 13183, 13579, 13183, 13579]
200580820;Ashton;Rowe;chanelle08@hotmail.com;MAESTRIA EN ARQUITECTURAS TI;[12664, 13981, 13183, 12664, 13579, 13981, 13183]
200256027;Sandra;Kuphal;champlin.sallie@yahoo.com;MAESTRIA EN ARQUITECTURAS TI;[13185, 13982, 12665, 13183, 13981, 13183, 13981]
199448609;Monica;Wiegand;brekke.selmer@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[12667, 13579, 12667, 12665, 13981, 13579, 13579]
200209857;Darrel;Wiegand;kirsten.wehner@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[13285, 12664, 12664, 12664, 12665, 13183, 13579]
199017780;Trey;Aufderhar;savannah57@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[13185, 13981, 12665, 12665, 13981, 13981, 13579]
200897782;Jackeline;Streich;bklein@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[13185, 13285, 13981, 12664, 12667, 13579, 13183]
201501705;Janelle;Mertz;laurine.bailey@hotmail.com;MAESTRIA EN ARQUITECTURAS TI;[13982, 13185, 13185, 13185, 13579, 13579, 13183]
200139999;Shanel;Predovic;leon79@murazik.com;MAESTRIA EN ARQUITECTURAS TI;[13982, 13183, 13185, 12667, 13185, 13981, 13183]
200957456;Jordyn;Wolff;deion07@flatley.com;MAESTRIA EN ARQUITECTURAS TI;[12667, 13981, 13183, 13579, 12667, 13981, 13579]
201493650;Javonte;Welch;hannah00@yahoo.com;MAESTRIA EN ARQUITECTURAS TI;[13285, 13183, 13285, 12664, 12665, 13579, 13579]
199455834;Santino;Jenkins;bwaters@reichert.com;MAESTRIA EN ARQUITECTURAS TI;[13579, 13982, 12664, 12667, 13981, 13981, 13579]
200630533;Craig;Collier;mafalda.wilderman@hotmail.com;MAESTRIA EN ARQUITECTURAS TI;[13981, 12665, 12667, 13579, 13579, 13981, 13579]
200725121;Myra;Hayes;esanford@watsicametz.com;MAESTRIA EN ARQUITECTURAS TI;[12667, 13981, 13981, 12665, 13981, 13183, 13981]
199092674;Justice;Cassin;mdoyle@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[12665, 13185, 12665, 12667, 13579, 13183, 13579]
200819108;Annalise;Kshlerin;svonrueden@nicolasdicki.com;MAESTRIA EN ARQUITECTURAS TI;[13981, 13285, 13183, 13185, 12665, 13183, 13183]
200584416;Lacey;Goodwin;lilyan89@deckow.com;MAESTRIA EN ARQUITECTURAS TI;[12665, 13285, 12667, 13183, 13183, 13183, 13183]
200529805;Joana;Denesik;yeffertz@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[13285, 13579, 13285, 12667, 12665, 13981, 13579]
201298849;Tillman;Greenfelder;lou74@rice.com;MAESTRIA EN ARQUITECTURAS TI;[13982, 13981, 13981, 13185, 13981, 13183, 13183]
199759245;Salma;Fahey;skovacek@prohaska.info;MAESTRIA EN ARQUITECTURAS TI;[13183, 13185, 12667, 13579, 13185, 13579, 13183]
201308943;Chadrick;Littel;nathaniel.kuhn@hotmail.com;MAESTRIA EN ARQUITECTURAS TI;[12664, 13185, 13185, 13183, 13185, 13981, 13579]
201110731;Arnaldo;Ernser;frida93@conn.com;MAESTRIA EN ARQUITECTURAS TI;[13981, 12667, 12665, 13981, 12665, 13981, 13579]
201345133;Davonte;Simonis;wuckert.kevon@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[13981, 13579, 13981, 13579, 13183, 13579, 13183]
199926199;Opal;Mayer;anya.heller@rolfsonmills.com;MAESTRIA EN ARQUITECTURAS TI;[13579, 13579, 13185, 12664, 12667, 13183, 13183]
199012971;Orlo;Wehner;oerdman@yahoo.com;MAESTRIA EN ARQUITECTURAS TI;[12665, 13183, 12664, 13183, 13981, 13579, 13981]
201466665;Marilie;Kris;janae90@hotmail.com;MAESTRIA EN ARQUITECTURAS TI;[13285, 12665, 13579, 13981, 13185, 13981, 13579]
200503130;Anjali;Adams;zelma.stanton@hotmail.com;MAESTRIA EN ARQUITECTURAS TI;[12664, 12667, 12664, 13185, 12667, 13183, 13183]
199745085;Gwen;Renner;zdach@hotmail.com;MAESTRIA EN ARQUITECTURAS TI;[13981, 13981, 12667, 13579, 13981, 13981, 13183]
199331447;Daija;Lindgren;swift.fermin@hotmail.com;MAESTRIA EN ARQUITECTURAS TI;[13183, 13285, 13285, 12664, 13183, 13183, 13981]
200414194;Layne;Lesch;aliza09@hanehomenick.info;MAESTRIA EN ARQUITECTURAS TI;[12664, 13579, 12664, 13285, 13981, 13183, 13981]
200238714;Jamil;Gaylord;nyah99@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[12667, 13285, 12665, 13579, 13183, 13981, 13981]
201343595;Imogene;Fay;stacy.grady@yahoo.com;MAESTRIA EN ARQUITECTURAS TI;[13579, 13981, 13981, 13185, 13981, 13183, 13579]
200141885;Marlen;Kessler;bhermiston@vonrueden.biz;MAESTRIA EN ARQUITECTURAS TI;[13185, 13981, 12664, 12665, 13981, 13579, 13183]
200025345;Janae;Gleason;altenwerth.bruce@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[13185, 13579, 13579, 13981, 13981, 13183, 13579]
200985134;Eloy;Haag;elda.bernier@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[13285, 13285, 12665, 12665, 13579, 13183, 13579]
199185836;Kaelyn;Pollich;mayert.ansley@cronin.org;MAESTRIA EN ARQUITECTURAS TI;[12664, 13185, 13285, 13579, 12667, 13981, 13579]
200407744;Maya;Ullrich;adan.bradtke@erdman.com;MAESTRIA EN ARQUITECTURAS TI;[12665, 12665, 13981, 12667, 13185, 13981, 13981]
201017240;Korbin;Hane;gardner31@rutherford.com;MAESTRIA EN ARQUITECTURAS TI;[12667, 12665, 12665, 13183, 12665, 13981, 13579]
200661555;Logan;Jacobi;omiller@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[13183, 13981, 13285, 13579, 13183, 13183, 13579]
201046795;Ardella;Jacobson;rebeka.yundt@keelingsenger.com;MAESTRIA EN ARQUITECTURAS TI;[12667, 13185, 13981, 13285, 12667, 13981, 13183]
200583144;Joannie;Schuster;amie43@balistreri.com;MAESTRIA EN ARQUITECTURAS TI;[12667, 13285, 12664, 13579, 12665, 13981, 13579]
199615975;Akeem;Welch;alysson.lebsack@anderson.com;MAESTRIA EN ARQUITECTURAS TI;[12667, 13185, 13185, 12667, 13183, 13981, 13183]
200617921;Porter;Corkery;runolfsson.camilla@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[13982, 13981, 12665, 13183, 13183, 13981, 13579]
199293499;Isidro;Bailey;bailey.lavern@sawayn.org;MAESTRIA EN ARQUITECTURAS TI;[13183, 13183, 12664, 13185, 12665, 13183, 13183]
199207046;Olin;Prohaska;vergie.west@schulistbrown.com;MAESTRIA EN ARQUITECTURAS TI;[12665, 12665, 12664, 13183, 13185, 13579, 13981]
200365832;Abigale;Willms;florida.runolfsdottir@mccullough.com;MAESTRIA EN ARQUITECTURAS TI;[13285, 12665, 12665, 12664, 13185, 13981, 13981]
200278356;Drew;Brown;brennon.bauch@will.com;MAESTRIA EN ARQUITECTURAS TI;[13185, 13579, 13183, 13185, 12665, 13183, 13579]
199563734;Erna;Robel;dwolf@yahoo.com;MAESTRIA EN ARQUITECTURAS TI;[13285, 13579, 12665, 12664, 13981, 13579, 13183]
199647498;Abelardo;Nader;qblock@hotmail.com;MAESTRIA EN ARQUITECTURAS TI;[13981, 13579, 13579, 13183, 13183, 13981, 13981]
200783409;Branson;Reynolds;jesse.cartwright@hotmail.com;MAESTRIA EN ARQUITECTURAS TI;[13183, 13579, 12667, 12664, 12667, 13183, 13183]
199965347;Patrick;Rippin;petra08@hotmail.com;MAESTRIA EN ARQUITECTURAS TI;[13285, 12665, 13981, 13183, 12665, 13981, 13981]
199965265;Velda;Brakus;meichmann@yahoo.com;MAESTRIA EN ARQUITECTURAS TI;[13981, 13185, 13185, 13185, 13579, 13579, 13579]
199429122;Lillie;Crona;sauer.daphne@schmidt.com;MAESTRIA EN ARQUITECTURAS TI;[12667, 12665, 12667, 13579, 13579, 13981, 13183]
