CARNET;NOMBRES;APELLIDOS;email;master;SECCIONES
199120793;Conner;Jakubowski;garett26@hammesberge.com;MAESTRIA EN ARQUITECTURAS TI;[13579, 13285, 12665, 13183, 13579, 13183, 13183]
199851611;Hazel;Price;dovie.stehr@pacocha.com;MAESTRIA EN ARQUITECTURAS TI;[13579, 13579, 13185, 13981, 13185, 13981, 13183]
200336544;Estella;Sawayn;ahoeger@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[12667, 13981, 13579, 12664, 12667, 13183, 13579]
200935304;Aditya;Metz;fadel.gracie@barton.biz;MAESTRIA EN ARQUITECTURAS TI;[13185, 13579, 13185, 12664, 13185, 13579, 13579]
199554193;Jerrell;Fisher;white.lela@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[12664, 12667, 13183, 13981, 12667, 13579, 13579]
199303921;Cameron;Kertzmann;brenda.kessler@yahoo.com;MAESTRIA EN ARQUITECTURAS TI;[13981, 13982, 13579, 13185, 13185, 13579, 13183]
201096962;Kenyon;Morar;ldeckow@schambergerprosacco.org;MAESTRIA EN ARQUITECTURAS TI;[13185, 12667, 12665, 12665, 13183, 13183, 13579]
201045014;Nathanael;Mann;alehner@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[13183, 13982, 12665, 12665, 13183, 13183, 13579]
201382857;Esther;Farrell;bertrand49@hotmail.com;MAESTRIA EN ARQUITECTURAS TI;[12665, 12664, 12664, 12667, 13981, 13183, 13981]
201105731;Maximus;Wisozk;feest.kasandra@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[12664, 13185, 13981, 13183, 12667, 13183, 13183]
201007677;Kylie;Pacocha;emmet16@pricemcdermott.com;MAESTRIA EN ARQUITECTURAS TI;[13981, 13183, 13981, 12667, 13981, 13183, 13981]
200285119;Ethyl;Padberg;candice80@yahoo.com;MAESTRIA EN ARQUITECTURAS TI;[13981, 12665, 13185, 13183, 12667, 13579, 13183]
199546393;Frieda;Graham;cleta.gulgowski@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[13981, 13981, 13579, 13183, 13183, 13183, 13981]
200377111;Madge;Bruen;bturcotte@hotmail.com;MAESTRIA EN ARQUITECTURAS TI;[13982, 12665, 12664, 12667, 13579, 13183, 13183]
199103792;Reid;Heller;dewitt.kuphal@jerdecruickshank.info;MAESTRIA EN ARQUITECTURAS TI;[13981, 13183, 13285, 12664, 13185, 13579, 13183]
201582829;Treva;Aufderhar;bill.kunde@beatty.com;MAESTRIA EN ARQUITECTURAS TI;[12664, 12664, 13183, 13185, 12667, 13183, 13579]
199237413;Bonnie;Wehner;ward.caroline@rippinreilly.biz;MAESTRIA EN ARQUITECTURAS TI;[13183, 13579, 13185, 13285, 13183, 13183, 13183]
199287827;Rosemary;Borer;edouglas@marquardt.info;MAESTRIA EN ARQUITECTURAS TI;[13981, 12664, 13579, 13183, 12665, 13183, 13981]
200858045;Bartholome;Leffler;callie.reilly@murazik.com;MAESTRIA EN ARQUITECTURAS TI;[12667, 13183, 12664, 12667, 12665, 13579, 13183]
201030066;Toby;Upton;melany07@heller.info;MAESTRIA EN ARQUITECTURAS TI;[12667, 12667, 12665, 13579, 12665, 13981, 13579]
200976745;Edward;Mitchell;rhoeger@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[12665, 12665, 12667, 12667, 12665, 13579, 13183]
201318882;Rex;Batz;miller.hertha@hettinger.net;MAESTRIA EN ARQUITECTURAS TI;[13285, 13981, 13285, 13981, 13183, 13183, 13579]
199381888;Imani;Fay;green.michelle@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[12665, 13183, 13579, 13183, 12665, 13579, 13981]
199982325;Chance;Stiedemann;colten.spinka@hotmail.com;MAESTRIA EN ARQUITECTURAS TI;[13981, 12664, 13285, 12667, 13185, 13579, 13981]
200856518;Holly;Jones;herman.anna@dach.com;MAESTRIA EN ARQUITECTURAS TI;[13185, 13579, 13285, 13183, 13183, 13579, 13981]
200447644;Magdalena;Romaguera;fupton@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[12665, 13982, 13579, 12664, 12665, 13579, 13579]
200625488;Andy;Ledner;ivy.kihn@koepp.com;MAESTRIA EN ARQUITECTURAS TI;[13285, 12667, 12667, 12667, 12665, 13183, 13579]
201226425;Davion;Rodriguez;von.cristian@walsh.com;MAESTRIA EN ARQUITECTURAS TI;[12664, 13285, 12667, 12665, 13185, 13981, 13981]
200573141;Annamarie;Macejkovic;jackie94@hotmail.com;MAESTRIA EN ARQUITECTURAS TI;[13982, 12665, 13579, 13579, 13981, 13579, 13579]
200075755;Ebba;Harber;crist.larry@hotmail.com;MAESTRIA EN ARQUITECTURAS TI;[13185, 12664, 12664, 12667, 13183, 13183, 13579]
199875212;George;Schoen;ollie.fritsch@hotmail.com;MAESTRIA EN ARQUITECTURAS TI;[13579, 13982, 13981, 13185, 13185, 13981, 13981]
200227003;Raleigh;Hauck;eladio08@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[12664, 13185, 13185, 13579, 13981, 13183, 13981]
199336713;Jeramie;Osinski;gianni.quigley@yahoo.com;MAESTRIA EN ARQUITECTURAS TI;[13579, 13981, 13579, 13285, 13981, 13981, 13183]
200301689;Lavern;Pollich;estella.bergnaum@hotmail.com;MAESTRIA EN ARQUITECTURAS TI;[13285, 12667, 13185, 12665, 13981, 13579, 13183]
200271753;Clotilde;Fay;sconroy@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[13579, 12667, 13183, 12667, 13981, 13981, 13981]
199933534;Dorthy;Adams;block.isai@padbergrosenbaum.com;MAESTRIA EN ARQUITECTURAS TI;[12667, 13183, 13285, 12667, 13185, 13579, 13981]
201478204;Dylan;Armstrong;celine.schimmel@yahoo.com;MAESTRIA EN ARQUITECTURAS TI;[12667, 13982, 12667, 13183, 13183, 13579, 13579]
200753456;Caesar;Nader;koch.cloyd@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[13285, 13981, 13285, 12667, 13579, 13981, 13183]
200776177;Marlin;Wiza;montana.towne@hotmail.com;MAESTRIA EN ARQUITECTURAS TI;[13982, 12665, 12664, 13579, 13579, 13579, 13183]
199712577;Erwin;Skiles;ferdman@yahoo.com;MAESTRIA EN ARQUITECTURAS TI;[12664, 13982, 12664, 12665, 13183, 13981, 13981]
201544756;Alejandrin;Collier;nikolas.sipes@yahoo.com;MAESTRIA EN ARQUITECTURAS TI;[13982, 13185, 12664, 12667, 12665, 13183, 13579]
200098138;Edgardo;Botsford;hilma.wolff@botsford.com;MAESTRIA EN ARQUITECTURAS TI;[13183, 13579, 12667, 12667, 13183, 13183, 13981]
201489040;Shaina;Koss;peter36@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[12664, 13981, 13285, 12665, 12665, 13579, 13183]
200717446;Ervin;Corkery;norene.haley@hotmail.com;MAESTRIA EN ARQUITECTURAS TI;[13285, 13982, 12664, 13185, 13185, 13183, 13579]
199883446;Eino;Brekke;nils.beer@conroy.com;MAESTRIA EN ARQUITECTURAS TI;[13185, 13183, 13579, 12664, 12665, 13981, 13579]
199921509;Dejah;Gorczany;cameron17@gorczany.info;MAESTRIA EN ARQUITECTURAS TI;[13981, 13183, 12664, 13185, 12665, 13579, 13981]
199567410;Merlin;O'Hara;isabella68@weissnat.com;MAESTRIA EN ARQUITECTURAS TI;[13981, 13579, 12665, 12667, 13981, 13183, 13579]
201462257;Maria;Wunsch;zboncak.casandra@hotmail.com;MAESTRIA EN ARQUITECTURAS TI;[13579, 12667, 13185, 13579, 12665, 13981, 13981]
199474610;Berniece;Kessler;kris.joshua@hotmail.com;MAESTRIA EN ARQUITECTURAS TI;[12667, 13982, 13185, 12665, 13183, 13579, 13183]
200570868;Delmer;Smitham;zberge@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[13982, 13285, 13579, 13285, 13183, 13579, 13981]
199589980;Thea;Spinka;felicita86@yahoo.com;MAESTRIA EN ARQUITECTURAS TI;[13285, 13185, 12667, 13285, 13185, 13579, 13183]
200486866;Darwin;Gerhold;floy53@kozey.biz;MAESTRIA EN ARQUITECTURAS TI;[12665, 12667, 12667, 12664, 12665, 13981, 13183]
199362863;Kristofer;Wyman;juanita.schultz@hotmail.com;MAESTRIA EN ARQUITECTURAS TI;[13285, 13185, 13285, 12667, 13185, 13981, 13183]
200093130;Earnestine;Kuhlman;armando.ledner@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[13183, 13982, 13183, 12667, 13981, 13579, 13981]
199396714;Tiffany;Nikolaus;vrosenbaum@gutmannpollich.com;MAESTRIA EN ARQUITECTURAS TI;[12664, 13982, 12665, 12667, 13183, 13981, 13981]
199933101;Birdie;Medhurst;florencio42@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[13285, 13579, 13285, 12664, 13185, 13981, 13981]
201454956;Dawn;Ernser;sschowalter@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[12664, 13981, 12665, 13285, 13981, 13183, 13183]
200133707;Grayce;Will;bednar.jocelyn@yahoo.com;MAESTRIA EN ARQUITECTURAS TI;[13981, 12667, 13579, 13285, 13183, 13981, 13579]
201576988;Bertha;Rogahn;bechtelar.betty@grady.info;MAESTRIA EN ARQUITECTURAS TI;[13981, 13579, 13579, 13183, 13981, 13579, 13579]
201334259;Colby;Mitchell;tristin59@kutch.biz;MAESTRIA EN ARQUITECTURAS TI;[12665, 13185, 13981, 12667, 12667, 13183, 13579]
200904990;Tianna;Wehner;wiley06@kub.com;MAESTRIA EN ARQUITECTURAS TI;[13982, 12667, 13579, 13185, 13185, 13579, 13183]
199289571;Kay;Berge;dakota.gerlach@olson.com;MAESTRIA EN ARQUITECTURAS TI;[13185, 12665, 12667, 12667, 12667, 13183, 13183]
199639451;Novella;Conn;arvel29@wiza.com;MAESTRIA EN ARQUITECTURAS TI;[12665, 13981, 12665, 13285, 13981, 13981, 13981]
201459001;Delia;White;ghettinger@yahoo.com;MAESTRIA EN ARQUITECTURAS TI;[13981, 13982, 13185, 12664, 12665, 13183, 13183]
200545824;Albina;Stamm;ylittle@willmsbuckridge.info;MAESTRIA EN ARQUITECTURAS TI;[12667, 13285, 13185, 12664, 12665, 13579, 13579]
200257552;Ezequiel;Ortiz;isidro.shanahan@lemkeschuppe.com;MAESTRIA EN ARQUITECTURAS TI;[13981, 12667, 12667, 12667, 13185, 13981, 13183]
199740368;Curtis;Christiansen;mazie37@kirlin.com;MAESTRIA EN ARQUITECTURAS TI;[12664, 13285, 13183, 13579, 13185, 13579, 13183]
201473191;Bridget;Kerluke;narciso.kihn@roberts.com;MAESTRIA EN ARQUITECTURAS TI;[13185, 12665, 13183, 12664, 13185, 13981, 13579]
201386831;Helmer;Herzog;maggio.nick@yahoo.com;MAESTRIA EN ARQUITECTURAS TI;[13579, 13183, 12667, 12665, 12667, 13183, 13183]
200265226;Santina;Hand;lakin.jayda@halvorson.com;MAESTRIA EN ARQUITECTURAS TI;[13579, 12664, 13981, 13579, 12665, 13981, 13579]
199056013;Owen;O'Keefe;klein.helene@hotmail.com;MAESTRIA EN ARQUITECTURAS TI;[12665, 13183, 12667, 12664, 13183, 13183, 13579]
200182439;Cory;Johnson;fadel.rebecca@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[12665, 12664, 13185, 13579, 12665, 13183, 13981]
201354552;Phoebe;Okuneva;jvandervort@yahoo.com;MAESTRIA EN ARQUITECTURAS TI;[13579, 12667, 12667, 12667, 13981, 13579, 13981]
201562727;Sabina;Bayer;bahringer.olin@dooley.com;MAESTRIA EN ARQUITECTURAS TI;[13982, 12665, 12665, 13579, 12667, 13981, 13183]
201422041;Agustina;Russel;bkub@yahoo.com;MAESTRIA EN ARQUITECTURAS TI;[13285, 13982, 13285, 13183, 13579, 13579, 13579]
201575959;Jillian;Hettinger;marvin.gerardo@hotmail.com;MAESTRIA EN ARQUITECTURAS TI;[12667, 13285, 13981, 12667, 13579, 13183, 13183]
200697652;Kathryne;Gerlach;qbins@hotmail.com;MAESTRIA EN ARQUITECTURAS TI;[12664, 13183, 13183, 13579, 13183, 13981, 13579]
199941981;Mia;Boehm;vankunding@schinnersteuber.com;MAESTRIA EN ARQUITECTURAS TI;[13981, 12667, 13285, 13183, 13183, 13981, 13981]
201108791;Everardo;Williamson;hilma07@marks.com;MAESTRIA EN ARQUITECTURAS TI;[13579, 13183, 12664, 13185, 12665, 13183, 13981]
199918052;Dayana;Nikolaus;austen.stanton@willmshermann.com;MAESTRIA EN ARQUITECTURAS TI;[12665, 13185, 13183, 13981, 13579, 13579, 13579]
199156983;Randall;Heidenreich;mraz.rosalinda@purdyflatley.net;MAESTRIA EN ARQUITECTURAS TI;[13981, 12667, 13183, 12667, 12667, 13183, 13981]
